Frame, Time_def, Emg1, Emg2, Emg3, Emg4, AccX, AccY, AccZ
4709, 0.0059822, 0, -5, -1, -1, -0.229004, 0.0639648, 1.03271
4710, 0.005325, 0, -5, -1, -1, -0.229004, 0.0639648, 1.03271
4711, 0.00463849, 0, -5, -1, -1, -0.229004, 0.0639648, 1.03271
4712, 0.00506367, 0, -1, -1, 0, -0.229004, 0.0639648, 1.03271
4713, 0.00497643, 0, -1, -1, 0, -0.229004, 0.0639648, 1.03271
4714, 0.00507686, 0, -3, 5, 7, -0.219727, 0.0668945, 1.03662
4715, 0.00495994, -1, -4, 1, 0, -0.219727, 0.0668945, 1.03662
4716, 0.00495261, -1, -4, 1, 0, -0.219727, 0.0668945, 1.03662
4717, 0.00498633, -1, -4, 1, 0, -0.219727, 0.0668945, 1.03662
4718, 0.00497606, -2, -2, -5, -4, -0.226074, 0.0654297, 1.03223
4719, 0.00500392, -2, -2, -5, -4, -0.226074, 0.0654297, 1.03223
4720, 0.00501675, -1, 1, 5, 3, -0.226074, 0.0654297, 1.03223
4721, 0.00502811, -1, 1, 5, 3, -0.22998, 0.0693359, 1.03662
4722, 0.00499952, 1, 0, -1, -1, -0.22998, 0.0693359, 1.03662
4723, 0.00499952, 1, 0, -1, -1, -0.22998, 0.0693359, 1.03662
4724, 0.00497496, 0, 1, -1, -5, -0.22998, 0.0693359, 1.03662
4725, 0.00502151, 0, 1, -1, -5, -0.22998, 0.0693359, 1.03662
4726, 0.0049614, -1, 0, -1, 0, -0.230469, 0.0698242, 1.03564
4727, 0.00505414, 1, -4, 1, 4, -0.230469, 0.0698242, 1.03564
4728, 0.00505633, 1, -4, 1, 4, -0.230469, 0.0698242, 1.03564
4729, 0.00491265, 1, -4, 1, 4, -0.230469, 0.0698242, 1.03564
4730, 0.00500978, -1, 2, 0, -1, -0.227539, 0.0654297, 1.02832
4731, 0.00503141, -1, 2, 0, -1, -0.227539, 0.0654297, 1.02832
4732, 0.00492841, -1, -2, -3, -2, -0.227539, 0.0654297, 1.02832
4733, 0.00503398, -1, -1, -2, -3, -0.227539, 0.0673828, 1.04004
4734, 0.00488663, -1, -1, -2, -3, -0.227539, 0.0673828, 1.04004
4735, 0.00513074, -1, -1, -2, -3, -0.227539, 0.0673828, 1.04004
4736, 0.00499292, 0, -3, -2, -1, -0.227539, 0.0673828, 1.04004
4737, 0.00503947, 0, -3, -2, -1, -0.227539, 0.0673828, 1.04004
4738, 0.00488919, 0, -3, 1, 3, -0.229004, 0.0683594, 1.04102
4739, 0.00507869, -1, 0, -2, 0, -0.229004, 0.0683594, 1.04102
4740, 0.00500685, -1, 0, -2, 0, -0.229004, 0.0683594, 1.04102
4741, 0.00498669, -1, 0, -2, 0, -0.229004, 0.0683594, 1.04102
4742, 0.00498266, 0, 0, -4, -5, -0.228516, 0.0654297, 1.03955
4743, 0.00500539, 0, 0, -4, -5, -0.228516, 0.0654297, 1.03955
4744, 0.00496837, 0, -2, 2, -1, -0.228516, 0.0654297, 1.03955
4745, 0.00508822, -1, 1, 3, 3, -0.220703, 0.0625, 1.04541
4746, 0.00493721, -1, 1, 3, 3, -0.220703, 0.0625, 1.04541
4747, 0.00502738, -1, 1, 3, 3, -0.220703, 0.0625, 1.04541
4748, 0.00496104, -1, 2, 0, -3, -0.220703, 0.0625, 1.04541
4749, 0.00503581, -1, 2, 0, -3, -0.220703, 0.0625, 1.04541
4750, 0.00495847, 1, 0, -4, 1, -0.216797, 0.0664062, 1.03467
4751, 0.00503508, -2, -4, -2, -1, -0.216797, 0.0664062, 1.03467
4752, 0.00498963, -2, -4, -2, -1, -0.216797, 0.0664062, 1.03467
4753, 0.00497167, -2, -4, -2, -1, -0.216797, 0.0664062, 1.03467
4754, 0.00494601, -1, 1, 0, -3, -0.216797, 0.0737305, 1.0498
4755, 0.00512121, -1, 1, 0, -3, -0.216797, 0.0737305, 1.0498
4756, 0.00494674, 2, -3, -8, -2, -0.216797, 0.0737305, 1.0498
4757, 0.00505523, 1, 0, -1, -2, -0.215332, 0.0800781, 1.05176
4758, 0.00495004, 1, 0, -1, -2, -0.215332, 0.0800781, 1.05176
4759, 0.00500209, 1, 0, -1, -2, -0.215332, 0.0800781, 1.05176
4760, 0.00502701, -3, 1, 1, 3, -0.215332, 0.0800781, 1.05176
4761, 0.00496177, -3, 1, 1, 3, -0.215332, 0.0800781, 1.05176
4762, 0.00505414, -3, -6, -5, -3, -0.209961, 0.0908203, 1.05811
4763, 0.00498669, 3, -2, 0, -1, -0.209961, 0.0908203, 1.05811
4764, 0.00503104, 3, -2, 0, -1, -0.209961, 0.0908203, 1.05811
4765, 0.00494637, 3, -2, 0, -1, -0.209961, 0.0908203, 1.05811
4766, 0.00495884, -2, -5, 0, -1, -0.197754, 0.0957031, 1.05127
4767, 0.00503691, -2, -5, 0, -1, -0.197754, 0.0957031, 1.05127
4768, 0.00500942, 1, -2, -1, -3, -0.197754, 0.0957031, 1.05127
4769, 0.00499476, 1, -2, -1, -3, -0.181641, 0.107422, 1.05713
4770, 0.00490129, 1, -2, -1, -3, -0.181641, 0.107422, 1.05713
4771, 0.00507869, 1, -2, -1, -3, -0.181641, 0.107422, 1.05713
4772, 0.0050457, -2, -6, 0, 0, -0.181641, 0.107422, 1.05713
4773, 0.0049746, -2, -6, 0, 0, -0.181641, 0.107422, 1.05713
4774, 0.00499219, -2, -1, -2, -7, -0.179199, 0.120117, 1.06055
4775, 0.00510288, 2, -3, 6, 0, -0.179199, 0.120117, 1.06055
4776, 0.00489946, 2, -3, 6, 0, -0.179199, 0.120117, 1.06055
4777, 0.00501162, 2, -3, 6, 0, -0.179199, 0.120117, 1.06055
4778, 0.00492035, -1, -2, 3, 1, -0.151855, 0.135254, 1.06885
4779, 0.00511828, -1, -2, 3, 1, -0.151855, 0.135254, 1.06885
4780, 0.0048672, -2, -5, 0, -2, -0.151855, 0.135254, 1.06885
4781, 0.00513697, -2, -5, 0, -2, -0.151855, 0.135254, 1.06885
4782, 0.00496727, -2, -5, 0, -2, -0.151855, 0.135254, 1.06885
4783, 0.00498339, -3, -1, 6, 5, -0.158203, 0.156738, 1.11084
4784, 0.00492988, -5, 1, -7, -2, -0.158203, 0.156738, 1.11084
4785, 0.00512231, -5, 1, -7, -2, -0.158203, 0.156738, 1.11084
4786, 0.0049592, -3, -1, -1, 2, -0.142578, 0.183105, 1.1416
4787, 0.00501382, 0, -5, 2, 4, -0.142578, 0.183105, 1.1416
4788, 0.00490752, 0, -5, 2, 4, -0.142578, 0.183105, 1.1416
4789, 0.00507943, 0, -5, 2, 4, -0.142578, 0.183105, 1.1416
4790, 0.00547382, 4, 0, -5, -3, -0.121094, 0.228027, 1.17236
4791, 0.00454575, 4, 0, -5, -3, -0.121094, 0.228027, 1.17236
4792, 0.00495334, -1, -9, -3, 0, -0.121094, 0.228027, 1.17236
4793, 0.00504167, -1, -9, -3, 0, -0.121094, 0.228027, 1.17236
4794, 0.00489103, -1, -9, -3, 0, -0.121094, 0.228027, 1.17236
4795, 0.00516226, -1, -3, -2, -4, -0.105957, 0.239746, 1.16748
4796, 0.00491009, -1, -5, -7, -1, -0.105957, 0.239746, 1.16748
4797, 0.00507136, -1, -5, -7, -1, -0.105957, 0.239746, 1.16748
4798, 0.00493281, 0, 0, 3, -2, -0.0756836, 0.250977, 1.19189
4799, 0.00502225, -4, 5, 9, -1, -0.0756836, 0.250977, 1.19189
4800, 0.00504021, -4, 5, 9, -1, -0.0756836, 0.250977, 1.19189
4801, 0.00490679, -4, 5, 9, -1, -0.0756836, 0.250977, 1.19189
4802, 0.00502408, 2, 4, 3, 8, -0.0161133, 0.276367, 1.23438
4803, 0.00502958, 2, 4, 3, 8, -0.0161133, 0.276367, 1.23438
4804, 0.00514943, -2, -10, -20, -8, -0.0161133, 0.276367, 1.23438
4805, 0.00491119, -2, -10, -20, -8, -0.0161133, 0.276367, 1.23438
4806, 0.00491412, -2, -10, -20, -8, -0.0161133, 0.276367, 1.23438
4807, 0.00502335, 0, -11, 0, 0, 0.00634766, 0.312012, 1.27051
4808, 0.00502848, 0, -12, 4, 0, 0.00634766, 0.312012, 1.27051
4809, 0.00505304, 0, -12, 4, 0, 0.00634766, 0.312012, 1.27051
4810, 0.00489176, 1, -11, 9, 2, 0.0244141, 0.384766, 1.28516
4811, 0.00498119, -2, 3, -1, -4, 0.0244141, 0.384766, 1.28516
4812, 0.00509592, -2, 3, -1, -4, 0.0244141, 0.384766, 1.28516
4813, 0.00493794, -2, 3, -1, -4, 0.0244141, 0.384766, 1.28516
4814, 0.00499916, -2, -41, 8, 1, 0.074707, 0.38916, 1.29541
4815, 0.00503874, -2, -41, 8, 1, 0.074707, 0.38916, 1.29541
4816, 0.00494674, 4, -12, 7, 4, 0.074707, 0.38916, 1.29541
4817, 0.00503618, 4, -12, 7, 4, 0.074707, 0.38916, 1.29541
4818, 0.00497753, 4, -12, 7, 4, 0.074707, 0.38916, 1.29541
4819, 0.00501308, 6, 7, -12, -4, 0.0541992, 0.422852, 1.27393
4820, 0.00491412, 6, 7, -12, -4, 0.0541992, 0.422852, 1.27393
4821, 0.00503874, 6, 7, -12, -4, 0.0541992, 0.422852, 1.27393
4822, 0.00497313, 6, 7, -12, -4, 0.0541992, 0.422852, 1.27393
4823, 0.00499256, -6, 22, -1, -1, 0.0419922, 0.510254, 1.22656
4824, 0.00500978, -6, 22, -1, -1, 0.0419922, 0.510254, 1.22656
4825, 0.00508272, -6, 22, -1, -1, 0.0419922, 0.510254, 1.22656
4826, 0.00506183, -5, 22, 1, 1, 0.0410156, 0.523438, 1.2583
