Frame, Time_def, Emg1, Emg2, Emg3, Emg4, AccX, AccY, AccZ
1682, 0.00651147, -1, -3, 0, 3, -0.243652, -0.0483398, 1.03711
1683, 0.00533967, 0, 0, 1, 4, -0.240234, -0.0498047, 1.03076
1684, 0.005163, -1, 0, 4, -3, -0.240234, -0.0498047, 1.03076
1685, 0.00507613, 0, 0, -3, -3, -0.240234, -0.0498047, 1.03076
1686, 0.00489359, 0, 0, -3, -3, -0.240234, -0.0498047, 1.03076
1687, 0.00503691, 0, 0, -3, -3, -0.241699, -0.043457, 1.02637
1688, 0.00490312, -1, -3, 1, 2, -0.241699, -0.043457, 1.02637
1689, 0.00508932, -1, -3, 1, 2, -0.241699, -0.043457, 1.02637
1690, 0.00493428, 0, -1, 0, -3, -0.241699, -0.0454102, 1.03564
1691, 0.00508822, -1, 0, 0, 0, -0.241699, -0.0454102, 1.03564
1692, 0.00509335, -1, 0, 0, 0, -0.241699, -0.0454102, 1.03564
1693, 0.00488663, -1, 0, 0, 0, -0.241699, -0.0454102, 1.03564
1694, 0.00497423, 0, -1, -1, -3, -0.241699, -0.0454102, 1.03564
1695, 0.00494088, 0, 0, 0, -2, -0.251465, -0.046875, 1.03223
1696, 0.00511095, -1, -1, -6, 0, -0.251465, -0.046875, 1.03223
1697, 0.00502958, -1, 1, 0, -6, -0.251465, -0.046875, 1.03223
1698, 0.00501235, -1, 1, 0, -6, -0.251465, -0.046875, 1.03223
1699, 0.00494601, -1, 1, 0, -6, -0.244141, -0.0488281, 1.03516
1700, 0.00495554, 0, 1, -1, 0, -0.244141, -0.0488281, 1.03516
1701, 0.00499842, 0, 1, -1, 0, -0.244141, -0.0488281, 1.03516
1702, 0.00508492, 0, 0, 0, 0, -0.243164, -0.0429688, 1.03857
1703, 0.00497643, 0, 0, 0, 1, -0.243164, -0.0429688, 1.03857
1704, 0.00504167, 0, 0, 0, 1, -0.243164, -0.0429688, 1.03857
1705, 0.0049757, 0, 0, 0, 1, -0.243164, -0.0429688, 1.03857
1706, 0.0049735, 0, 0, 0, 1, -0.243164, -0.0429688, 1.03857
1707, 0.0048793, 0, 0, 1, 3, -0.241699, -0.050293, 1.03418
1708, 0.00511608, 0, 1, -4, 1, -0.241699, -0.050293, 1.03418
1709, 0.00499072, -1, -1, 2, 3, -0.241699, -0.050293, 1.03418
1710, 0.00505707, -1, -1, 2, 3, -0.241699, -0.050293, 1.03418
1711, 0.00501418, -1, -1, 2, 3, -0.239258, -0.0493164, 1.03613
1712, 0.00496947, 0, 1, 2, 2, -0.239258, -0.0493164, 1.03613
1713, 0.00498339, 0, 1, 2, 2, -0.239258, -0.0493164, 1.03613
1714, 0.00499512, -1, -1, 0, 0, -0.23877, -0.0498047, 1.03369
1715, 0.00501675, -2, 0, -1, -4, -0.23877, -0.0498047, 1.03369
1716, 0.00500355, -2, 0, -1, -4, -0.23877, -0.0498047, 1.03369
1717, 0.00492218, -2, 0, -1, -4, -0.23877, -0.0498047, 1.03369
1718, 0.00515676, -2, 0, -1, -4, -0.23877, -0.0498047, 1.03369
1719, 0.00478143, 1, -2, -2, -3, -0.235352, -0.0507812, 1.03271
1720, 0.00513514, 0, -1, -3, -2, -0.235352, -0.0507812, 1.03271
1721, 0.00501968, 0, -2, -1, 0, -0.235352, -0.0507812, 1.03271
1722, 0.00501382, 0, -2, -1, 0, -0.235352, -0.0507812, 1.03271
1723, 0.00493391, 0, -2, -1, 0, -0.22998, -0.043457, 1.04297
1724, 0.00503471, 0, -3, -2, -6, -0.22998, -0.043457, 1.04297
1725, 0.00498229, 0, -3, -2, -6, -0.22998, -0.043457, 1.04297
1726, 0.00502371, 0, 0, 4, 9, -0.23291, -0.0517578, 1.04443
1727, 0.00493318, -1, 0, 2, -1, -0.23291, -0.0517578, 1.04443
1728, 0.00516666, -1, 0, 2, -1, -0.23291, -0.0517578, 1.04443
1729, 0.00486097, -1, 0, 2, -1, -0.23291, -0.0517578, 1.04443
1730, 0.00502445, -1, -1, -6, -10, -0.23291, -0.0517578, 1.04443
1731, 0.00490569, -1, -1, -6, -10, -0.242188, -0.046875, 1.04443
1732, 0.00507869, -1, 0, 2, 4, -0.242188, -0.046875, 1.04443
1733, 0.00498816, -2, -1, -4, -1, -0.242188, -0.046875, 1.04443
1734, 0.00495151, -2, -1, -4, -1, -0.242188, -0.046875, 1.04443
1735, 0.00508456, -2, -1, -4, -1, -0.241699, -0.0419922, 1.03369
1736, 0.00501162, 0, -3, -1, 0, -0.241699, -0.0419922, 1.03369
1737, 0.00498046, 0, -3, -1, 0, -0.241699, -0.0419922, 1.03369
1738, 0.00496983, 0, -2, -8, -4, -0.235352, -0.043457, 1.03906
1739, 0.00500869, 1, 0, -5, -2, -0.235352, -0.043457, 1.03906
1740, 0.00495517, 1, 0, -5, -2, -0.235352, -0.043457, 1.03906
1741, 0.00503251, 1, 0, -5, -2, -0.235352, -0.043457, 1.03906
1742, 0.0049779, 1, -1, 2, -1, -0.235352, -0.043457, 1.03906
1743, 0.00492841, 1, -1, 2, -1, -0.227051, -0.0375977, 1.03418
1744, 0.00507063, -3, 0, 0, 1, -0.227051, -0.0375977, 1.03418
1745, 0.00511205, 0, 2, 0, -2, -0.227051, -0.0375977, 1.03418
1746, 0.00492548, 0, 2, 0, -2, -0.227051, -0.0375977, 1.03418
1747, 0.00503984, 0, 2, 0, -2, -0.227051, -0.0375977, 1.03418
1748, 0.00501345, 0, 2, 0, -2, -0.228027, -0.0385742, 1.04785
1749, 0.00495847, -1, -1, -1, 8, -0.228027, -0.0385742, 1.04785
1750, 0.00490569, -1, 0, 0, 0, -0.23291, -0.0375977, 1.05273
1751, 0.00515017, 1, 0, 1, -2, -0.23291, -0.0375977, 1.05273
1752, 0.00493208, 1, 0, 1, -2, -0.23291, -0.0375977, 1.05273
1753, 0.00499182, 1, 0, 1, -2, -0.23291, -0.0375977, 1.05273
1754, 0.00501968, -1, -4, 2, 5, -0.23291, -0.0375977, 1.05273
1755, 0.00485291, -2, -5, 0, 1, -0.235352, -0.019043, 1.07764
1756, 0.00516043, 0, -2, -4, -6, -0.235352, -0.019043, 1.07764
1757, 0.00497826, 0, -2, -4, -6, -0.235352, -0.019043, 1.07764
1758, 0.00499989, 0, -2, -4, -6, -0.235352, -0.019043, 1.07764
1759, 0.00501418, -1, -1, 0, 3, -0.220703, 0.00341797, 1.10645
1760, 0.00499842, 0, 0, 1, 0, -0.220703, 0.00341797, 1.10645
1761, 0.00497863, 0, 0, 1, 0, -0.220703, 0.00341797, 1.10645
1762, 0.00501858, -3, -6, -5, -3, -0.196777, 0.0405273, 1.13281
1763, 0.00502665, -1, 0, -1, -2, -0.196777, 0.0405273, 1.13281
1764, 0.00498046, -1, 0, -1, -2, -0.196777, 0.0405273, 1.13281
1765, 0.00503837, -1, 0, -1, -2, -0.196777, 0.0405273, 1.13281
1766, 0.00493428, -1, 0, -1, -2, -0.196777, 0.0405273, 1.13281
1767, 0.00499402, -2, 2, 0, -2, -0.171387, 0.0869141, 1.17773
1768, 0.00501565, 0, -4, -5, -4, -0.171387, 0.0869141, 1.17773
1769, 0.00502811, 0, -3, -1, 0, -0.171387, 0.0869141, 1.17773
1770, 0.00496067, 0, -3, -1, 0, -0.171387, 0.0869141, 1.17773
1771, 0.0050556, 0, -3, -1, 0, -0.13916, 0.15332, 1.22852
1772, 0.00488773, -5, -8, -1, -3, -0.13916, 0.15332, 1.22852
1773, 0.00511645, -5, -8, -1, -3, -0.13916, 0.15332, 1.22852
1774, 0.00483275, 0, -1, -6, 3, -0.13916, 0.15332, 1.22852
1775, 0.00512561, 0, -1, -6, 3, -0.0917969, 0.246094, 1.30029
1776, 0.00492915, 5, 2, 11, 4, -0.0917969, 0.246094, 1.30029
1777, 0.00503508, 5, 2, 11, 4, -0.0917969, 0.246094, 1.30029
1778, 0.00508199, 5, 2, 11, 4, -0.0917969, 0.246094, 1.30029
1779, 0.00483898, 0, 7, 1, 4, -0.0512695, 0.313477, 1.37451
1780, 0.00511865, -6, -6, -25, -7, -0.0512695, 0.313477, 1.37451
1781, 0.00504241, 9, 32, 5, 0, -0.0512695, 0.313477, 1.37451
1782, 0.00494234, 9, 32, 5, 0, -0.0512695, 0.313477, 1.37451
1783, 0.00498816, 9, 32, 5, 0, 0.484863, 0.722168, 1.17773
1784, 0.00499806, 3, -29, 9, 0, 0.484863, 0.722168, 1.17773
1785, 0.0050589, 3, -29, 9, 0, 0.484863, 0.722168, 1.17773
1786, 0.00495297, 3, 49, 8, -5, -0.418457, 0.336426, 1.47705
1787, 0.00500025, 1, -10, -16, 0, -0.418457, 0.336426, 1.47705
1788, 0.00499549, 1, -10, -16, 0, -0.418457, 0.336426, 1.47705
1789, 0.00490825, 1, -10, -16, 0, -0.418457, 0.336426, 1.47705
1790, 0.00509189, -9, -40, -7, -8, -0.418457, 0.336426, 1.47705
1791, 0.00489616, -1, -27, -4, -4, -1.19531, -0.535645, 2.10742
1792, 0.00511058, -1, -27, -4, -4, -1.19531, -0.535645, 2.10742
1793, 0.00498229, -1, -27, -4, -4, -1.19531, -0.535645, 2.10742
1794, 0.0049647, -5, -38, -5, -2, -1.19531, -0.535645, 2.10742
1795, 0.00500869, -5, -38, -5, -2, 0.714844, 0.86377, 1.25537
1796, 0.0050677, -5, 4, 4, 3, 0.714844, 0.86377, 1.25537
1797, 0.00498706, -5, 4, 4, 3, 0.714844, 0.86377, 1.25537
1798, 0.00490972, -1, 11, 2, 2, -0.034668, 0.631836, 1.34424
1799, 0.00512488, -6, 14, -2, -2, -0.034668, 0.631836, 1.34424
1800, 0.00490532, -6, 14, -2, -2, -0.034668, 0.631836, 1.34424
1801, 0.00518425, -6, 14, -2, -2, -0.034668, 0.631836, 1.34424
1802, 0.00480966, 0, 4, -5, 0, -0.034668, 0.631836, 1.34424
1803, 0.00495627, -4, -2, -9, -5, 0.0400391, 0.366211, 1.38525
1804, 0.00512744, 0, 5, 0, 0, 0.0400391, 0.366211, 1.38525
1805, 0.00487967, -3, -28, -20, -5, 0.0400391, 0.366211, 1.38525
1806, 0.00505487, -3, -28, -20, -5, 0.0400391, 0.366211, 1.38525
1807, 0.00505047, -3, -28, -20, -5, 0.00244141, 0.318848, 1.33301
1808, 0.00492292, -1, -6, -5, -3, 0.00244141, 0.318848, 1.33301
1809, 0.00509885, -1, -6, -5, -3, 0.00244141, 0.318848, 1.33301
1810, 0.00486464, -7, -1, 6, -4, 0.00244141, 0.318848, 1.33301
