Frame, Time_def, Emg1, Emg2, Emg3, Emg4, AccX, AccY, AccZ
7842, 0.00587114, 0, -8, 4, 5, -0.353027, 0.0673828, 0.995117
7843, 0.00544999, -2, -2, 0, -1, -0.358887, 0.0732422, 0.996582
7844, 0.00463482, -2, -2, 0, -1, -0.358887, 0.0732422, 0.996582
7845, 0.00497936, 1, -4, 0, 0, -0.358887, 0.0732422, 0.996582
7846, 0.00507429, 1, -4, 0, 0, -0.358887, 0.0732422, 0.996582
7847, 0.00490825, 0, -5, -1, 1, -0.348633, 0.0708008, 0.990234
7848, 0.00502188, 0, -5, -1, 1, -0.348633, 0.0708008, 0.990234
7849, 0.00492585, -1, -5, -1, -2, -0.348633, 0.0708008, 0.990234
7850, 0.00517399, -1, -5, -1, -2, -0.348633, 0.0708008, 0.990234
7851, 0.00492255, -1, -11, 0, -3, -0.352051, 0.0698242, 0.996582
7852, 0.00495774, -1, -11, 0, -3, -0.352051, 0.0698242, 0.996582
7853, 0.00493574, -1, -1, -5, -2, -0.352051, 0.0698242, 0.996582
7854, 0.00513221, 0, -9, 0, 0, -0.35498, 0.0722656, 1.00293
7855, 0.00491998, 0, -9, 0, 0, -0.35498, 0.0722656, 1.00293
7856, 0.00510288, 0, -9, 0, 0, -0.35498, 0.0722656, 1.00293
7857, 0.00498413, 0, 1, 1, 1, -0.35498, 0.0722656, 1.00293
7858, 0.0049614, 0, 1, 1, 1, -0.35498, 0.0722656, 1.00293
7859, 0.00499622, -2, -8, 0, -1, -0.360352, 0.0717773, 1.00146
7860, 0.00497826, 0, -5, 0, 1, -0.360352, 0.0717773, 1.00146
7861, 0.00502555, 0, -5, 0, 1, -0.360352, 0.0717773, 1.00146
7862, 0.0049702, 0, -5, 0, 1, -0.360352, 0.0717773, 1.00146
7863, 0.00500539, 0, -11, 0, -1, -0.359375, 0.0673828, 1.00391
7864, 0.00499916, 0, -11, 0, -1, -0.359375, 0.0673828, 1.00391
7865, 0.00499879, -1, -7, -1, -2, -0.359375, 0.0673828, 1.00391
7866, 0.00499512, 0, -3, 0, 0, -0.362305, 0.0654297, 1.00391
7867, 0.00507283, 0, -3, 0, 0, -0.362305, 0.0654297, 1.00391
7868, 0.00500429, 0, -3, 0, 0, -0.362305, 0.0654297, 1.00391
7869, 0.00498119, -1, -7, -2, -4, -0.362305, 0.0654297, 1.00391
7870, 0.00502041, -1, -7, -2, -4, -0.362305, 0.0654297, 1.00391
7871, 0.00493574, 0, -5, -2, 0, -0.354004, 0.0600586, 1.00537
7872, 0.00505853, 0, 4, 0, 0, -0.354004, 0.0600586, 1.00537
7873, 0.004887, 0, 4, 0, 0, -0.354004, 0.0600586, 1.00537
7874, 0.00510215, 0, 4, 0, 0, -0.354004, 0.0600586, 1.00537
7875, 0.00499219, -2, -3, -3, -5, -0.35791, 0.0678711, 1.00977
7876, 0.00497203, -2, -3, -3, -5, -0.35791, 0.0678711, 1.00977
7877, 0.00499622, -3, 1, -1, -2, -0.35791, 0.0678711, 1.00977
7878, 0.00498743, 0, 9, -3, 0, -0.355957, 0.0644531, 1.00391
7879, 0.00497423, 0, 9, -3, 0, -0.355957, 0.0644531, 1.00391
7880, 0.00503911, 0, 9, -3, 0, -0.355957, 0.0644531, 1.00391
7881, 0.00503544, -1, -3, -1, -1, -0.355957, 0.0644531, 1.00391
7882, 0.00498779, -1, -3, -1, -1, -0.355957, 0.0644531, 1.00391
7883, 0.00507539, 0, 4, 0, 1, -0.356445, 0.0634766, 0.993164
7884, 0.00492145, 0, 4, -3, -4, -0.356445, 0.0634766, 0.993164
7885, 0.00498596, 0, 4, -3, -4, -0.356445, 0.0634766, 0.993164
7886, 0.00498449, 0, 4, -3, -4, -0.356445, 0.0634766, 0.993164
7887, 0.00498449, 0, -3, 0, -2, -0.358398, 0.0678711, 0.99707
7888, 0.00502921, 0, -3, 0, -2, -0.358398, 0.0678711, 0.99707
7889, 0.00490239, 0, 0, -1, -1, -0.358398, 0.0678711, 0.99707
7890, 0.00517399, 0, 0, -1, -1, -0.35791, 0.0649414, 1.00293
7891, 0.00492878, 0, 0, -1, -1, -0.35791, 0.0649414, 1.00293
7892, 0.00499622, -2, -1, -2, -1, -0.35791, 0.0649414, 1.00293
7893, 0.00502738, 0, -3, -3, -4, -0.35791, 0.0649414, 1.00293
7894, 0.00499292, 0, -3, -3, -4, -0.35791, 0.0649414, 1.00293
7895, 0.00495261, 1, 1, 1, 1, -0.359863, 0.0683594, 0.998535
7896, 0.0050589, 1, 1, 1, 1, -0.359863, 0.0683594, 0.998535
7897, 0.00495004, 1, 1, 1, 1, -0.359863, 0.0683594, 0.998535
7898, 0.00500025, 0, -1, 0, 2, -0.359863, 0.0683594, 0.998535
7899, 0.00497167, 0, -1, -3, -4, -0.35498, 0.0664062, 0.991699
7900, 0.00508419, 0, -1, -3, -4, -0.35498, 0.0664062, 0.991699
7901, 0.00498156, -1, -9, 0, 0, -0.35498, 0.0664062, 0.991699
7902, 0.00499622, -1, -9, 0, 0, -0.36084, 0.0698242, 1.00342
7903, 0.00501015, -1, -9, 0, 0, -0.36084, 0.0698242, 1.00342
7904, 0.0049669, -1, 7, 2, -3, -0.36084, 0.0698242, 1.00342
7905, 0.00500245, -1, -6, -1, 0, -0.36084, 0.0698242, 1.00342
7906, 0.00503471, -1, -6, -1, 0, -0.36084, 0.0698242, 1.00342
