Frame, Time_def, Emg1, Emg2, Emg3, Emg4, AccX, AccY, AccZ
6268, 0.00500135, -2, -3, 0, 0, -0.275879, 0.0629883, 1.03076
6269, 0.0049801, -2, -3, 0, 0, -0.275879, 0.0629883, 1.03076
6270, 0.00502958, 2, -8, 4, 0, -0.272949, 0.0556641, 1.0293
6271, 0.00495004, 1, -6, 0, 1, -0.272949, 0.0556641, 1.0293
6272, 0.00507833, 1, -6, 0, 1, -0.272949, 0.0556641, 1.0293
6273, 0.0049658, -2, 1, 0, 0, -0.272949, 0.0556641, 1.0293
6274, 0.0050688, -2, 1, 0, 0, -0.279785, 0.0561523, 1.03125
6275, 0.00485181, -2, 1, 0, 0, -0.279785, 0.0561523, 1.03125
6276, 0.00520441, -1, -10, -1, -2, -0.279785, 0.0561523, 1.03125
6277, 0.00487893, 0, -5, -6, -1, -0.279785, 0.0561523, 1.03125
6278, 0.00489726, 0, -5, -6, -1, -0.279785, 0.0561523, 1.03125
6279, 0.00510142, 0, -8, 1, 1, -0.280273, 0.059082, 1.02148
6280, 0.00501308, 0, -8, 1, 1, -0.280273, 0.059082, 1.02148
6281, 0.00505267, 0, -8, 1, 1, -0.280273, 0.059082, 1.02148
6282, 0.00497276, -2, -5, -4, -4, -0.272461, 0.0576172, 1.01807
6283, 0.0049779, -1, -3, -9, -6, -0.272461, 0.0576172, 1.01807
6284, 0.00498669, -1, -3, -9, -6, -0.272461, 0.0576172, 1.01807
6285, 0.00490386, 0, -6, -3, 3, -0.272461, 0.0576172, 1.01807
6286, 0.00520258, 0, -6, -3, 3, -0.275879, 0.0566406, 1.02539
6287, 0.00489359, 0, -6, -3, 3, -0.275879, 0.0566406, 1.02539
6288, 0.00511131, 0, -5, -2, -1, -0.275879, 0.0566406, 1.02539
6289, 0.00478363, 0, -6, 0, -2, -0.275879, 0.0566406, 1.02539
6290, 0.00510362, 0, -6, 0, -2, -0.275879, 0.0566406, 1.02539
6291, 0.00499439, 0, -6, 0, -2, -0.273438, 0.0493164, 1.02539
6292, 0.00491705, -1, -4, 4, 3, -0.273438, 0.0493164, 1.02539
6293, 0.00513661, -1, -4, 4, 3, -0.273438, 0.0493164, 1.02539
6294, 0.0049537, -2, -3, 2, -2, -0.271973, 0.0595703, 1.02344
6295, 0.00504644, 0, 0, 0, -1, -0.271973, 0.0595703, 1.02344
6296, 0.004957, 0, 0, 0, -1, -0.271973, 0.0595703, 1.02344
6297, 0.00498559, 0, 1, -4, -2, -0.271973, 0.0595703, 1.02344
6298, 0.00501235, 0, 1, -4, -2, -0.269531, 0.0576172, 1.02441
6299, 0.00488626, 0, 1, -4, -2, -0.269531, 0.0576172, 1.02441
6300, 0.00511315, 0, -12, -3, -2, -0.269531, 0.0576172, 1.02441
6301, 0.00599319, -3, 2, -3, -4, -0.269531, 0.0576172, 1.02441
6302, 0.00495297, -3, 2, -3, -4, -0.269531, 0.0576172, 1.02441
6303, 0.005071, 0, 8, 2, 4, -0.269531, 0.0610352, 1.02783
6304, 0.00504387, 0, 8, 2, 4, -0.269531, 0.0610352, 1.02783
6305, 0.00493684, 0, 8, 2, 4, -0.269531, 0.0610352, 1.02783
6306, 0.00500355, 0, 6, 2, -4, -0.271973, 0.065918, 1.04004
6307, 0.0049636, -1, 0, -7, -8, -0.271973, 0.065918, 1.04004
6308, 0.00506147, -1, 0, -7, -8, -0.271973, 0.065918, 1.04004
6309, 0.00503141, 3, 8, 0, 2, -0.271973, 0.065918, 1.04004
6310, 0.00501675, 3, 8, 0, 2, -0.272461, 0.0683594, 1.04248
6311, 0.00492988, 3, 8, 0, 2, -0.272461, 0.0683594, 1.04248
6312, 0.00492805, 3, 8, 0, 2, -0.272461, 0.0683594, 1.04248
6313, 0.00511571, 1, 4, 0, 1, -0.272461, 0.0683594, 1.04248
6314, 0.00495407, 1, 4, 0, 1, -0.272461, 0.0683594, 1.04248
6315, 0.00499769, -2, 2, -3, 0, -0.277832, 0.0742188, 1.04785
6316, 0.00504607, -2, 2, -3, 0, -0.277832, 0.0742188, 1.04785
6317, 0.00494271, -2, 2, -3, 0, -0.277832, 0.0742188, 1.04785
6318, 0.00500539, -2, 10, 6, 6, -0.26416, 0.0791016, 1.06055
6319, 0.0050589, -1, -1, 0, 0, -0.26416, 0.0791016, 1.06055
6320, 0.00498779, -1, -1, 0, 0, -0.26416, 0.0791016, 1.06055
6321, 0.00496214, -1, 1, -5, -3, -0.26416, 0.0791016, 1.06055
6322, 0.00503508, -1, 1, -5, -3, -0.240234, 0.0957031, 1.07861
6323, 0.00497313, -1, 1, -5, -3, -0.240234, 0.0957031, 1.07861
