Frame, Time_def, Emg1, Emg2, Emg3, Emg4, AccX, AccY, AccZ
3208, 0.00599246, -1, -1, 2, 0, -0.246094, 0.00244141, 1.03223
3209, 0.00555116, 1, -1, -3, 1, -0.249023, 0.000488281, 1.03076
3210, 0.00462163, 1, -1, -3, 1, -0.249023, 0.000488281, 1.03076
3211, 0.00492145, 1, -1, -3, 1, -0.249023, 0.000488281, 1.03076
3212, 0.00500099, 0, 0, 3, 1, -0.249023, 0.000488281, 1.03076
3213, 0.00503837, 0, 0, 3, 1, -0.249023, 0.000488281, 1.03076
3214, 0.00489066, 0, 0, 3, 1, -0.250488, 0, 1.03613
3215, 0.00509812, 0, -5, -2, -4, -0.250488, 0, 1.03613
3216, 0.00499219, 0, -5, -2, -4, -0.250488, 0, 1.03613
3217, 0.00491742, 0, 0, -1, -5, -0.250488, 0, 1.03613
3218, 0.00512268, -1, 0, 4, 0, -0.25, 0.000488281, 1.03516
3219, 0.00495847, -1, 0, 4, 0, -0.25, 0.000488281, 1.03516
3220, 0.00498303, -1, 0, 4, 0, -0.25, 0.000488281, 1.03516
3221, 0.00498413, -1, 0, -5, -1, -0.25, 0.000488281, 1.03516
3222, 0.00501602, -1, 0, -5, -1, -0.25, 0.000488281, 1.03516
3223, 0.00490716, 0, -2, -2, -2, -0.258789, -0.00683594, 1.03516
3224, 0.00507576, -1, 0, -4, -6, -0.258789, -0.00683594, 1.03516
3225, 0.00495004, -1, 0, -4, -6, -0.258789, -0.00683594, 1.03516
3226, 0.0050457, -1, 0, -4, -6, -0.242676, -0.000976562, 1.04346
3227, 0.00504204, -1, 0, 0, 0, -0.242676, -0.000976562, 1.04346
3228, 0.00500062, -1, 0, 0, 0, -0.242676, -0.000976562, 1.04346
3229, 0.00485914, -2, -6, -1, 2, -0.242676, -0.000976562, 1.04346
3230, 0.00513477, 0, -2, 3, 0, -0.245117, -0.00585938, 1.04053
3231, 0.00507173, 0, -2, 3, 0, -0.245117, -0.00585938, 1.04053
3232, 0.00492402, 0, -2, 3, 0, -0.245117, -0.00585938, 1.04053
